simas_id,name,tipologi,founded_year,address,latitude,longitude,luas_tanah,status_tanah,luas_bangunan,daya_tampung_jamaah,jumlah_pengurus,jumlah_imam,jumlah_khatib,jumlah_muazin,jumlah_remaja_masjid,facilities,activities,image_url,detail_url
02.1.03.17.02.000036,AT-TAQWA,Mushalla di tempat Publik,0,"Samping RSAM Cindua Mato Kel.Puhun Tembok | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000036
02.1.03.17.02.000041,FIRDAUS,Mushalla di tempat Publik,0,"Jl.By Pass Kel.Campago Ipuh | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000041
02.1.03.17.02.000052,AL-FIRDAUS,Mushalla di tempat Publik,0,"Jl.By Pass Koto Bawah Kel.Pulai Anak Air | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,25,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000052
02.1.03.17.02.000067,NURUL HIDAYAH,Mushalla di tempat Publik,0,"Jl.Mr.A.Saad Kel.Manggis Ganting | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.95508,100.36955,0 m2,SHM,0 m2,0,3,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000067
02.1.03.17.02.000083,BELAKANG SANJAI,Mushalla di tempat Publik,00,"Jl.Manggis Kel.Manggis Ganting | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",0,0,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]",[],https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000083
02.1.03.17.02.000047,NURUL HIDAYAH,Mushalla di tempat Publik,0,"Jl.Mr.Asaad Kel.Manggis Ganting | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.29493889881562,100.38453516279,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000047
02.1.03.17.02.000088,AL- HIDAYAH,Mushalla di tempat Publik,00,"KOMPL.ASPOL KEL.PULAI ANAK AIR | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.30208271089615,100.38480412151,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000088
02.1.03.17.02.000062,NUR HIDAYAH,Mushalla di tempat Publik,0,"Jln.By Pass Kelurahan Pulai Anak Aia, Kecamatan Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26138, Indonesia | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.30730994172035,100.38452478599,0 m2,Wakaf,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000062
02.1.03.17.02.000069,SURAU INYIAK BANCAH,Mushalla di tempat Publik,0,"JL.KESUMA BHAKTI KEL.KUBU GULAI BANCAH | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.28763553380971,100.37064783275,0 m2,SHM,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000069
02.1.03.17.02.000085,AL HIDAYAH KURIMAN,Mushalla di tempat Publik,00,"Jl.Pabidikan Kel.Puhun Pintu Kabun | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.28637056828453,100.34763041213,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Ruang Belajar (TPA/Madrasah)"",""Tempat Penitipan Sepatu/Sandal"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000085
