simas_id,name,tipologi,founded_year,address,latitude,longitude,luas_tanah,status_tanah,luas_bangunan,daya_tampung_jamaah,jumlah_pengurus,jumlah_imam,jumlah_khatib,jumlah_muazin,jumlah_remaja_masjid,facilities,activities,image_url,detail_url
01.6.03.17.03.000011,BAITUSSALAM,Masjid di Tempat Publik,1968,"Jl. Komplek Kodim 0304/ Agam-sapiran | Aur Birugo Tigo Baleh | , Kota Bukittinggi | Sumatera Barat",-0.31435184427932,100.37710891665,750 | m2,SHM,270 | m2,400,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Perpustakaan"",""Perlengkapan Pengurusan Jenazah"",""Ruang Belajar (TPA/Madrasah)"",""Tempat Penitipan Sepatu/Sandal"",""Gudang"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)""]",https://simas.kemenag.go.id/image/masjid-image/3/73/867/01.6.03.17.03.000011/0794ceead89bd43f8602c5ac22eda33c.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.03.000011
01.6.03.17.02.000029,BAITURRAHMAN,Masjid di Tempat Publik,2017,"Jl. Banto Darano | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.29114348019911,100.38463742571,1.144 | m2,Wakaf,440 | m2,120,4,1,1,1,25,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Ruang Belajar (TPA/Madrasah)"",""Tempat Penitipan Sepatu/Sandal"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)""]",https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000029/28f3fe669f6e218f7e7952cbd31bc5aa.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000029
01.6.03.17.02.000025,DARUSSALAM,Masjid di Tempat Publik,1970,"Guguak Randah Kel. Campago Guguak Bulek | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.28532421424415,100.38493331211,5.000 | m2,Wakaf,500 | m2,0,4,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000025/d0af6bdff7b780258fba578c8731b037.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000025
01.6.03.17.02.000024,NURUL HUDA,Masjid di Tempat Publik,1975,"Panganak Kel. Puhun Pintu Kabun | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.29381291692048,100.35673622042,1.263 | m2,Wakaf,380 | m2,0,4,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Perlengkapan Pengurusan Jenazah"",""Tempat Penitipan Sepatu/Sandal""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar""]",https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000024/1999a8476c9dbe3b6f641d11070fe7e6.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000024
01.6.03.17.02.000023,JIHAD,Masjid di Tempat Publik,1971,"Talao Campago Guguak Bulek | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.28936654250825,100.38831386716,1.320 | m2,Wakaf,380 | m2,0,4,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Sound System dan Multimedia""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar""]",https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000023/0d4c3a93cdf56055a8269c725f8e45d4.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000023
01.6.03.17.02.000022,IHSAN INKORBA,Masjid di Tempat Publik,1991,"Komp. Inkorba Kel. Campago Guguak Bulek | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.29233166201733,100.38365914262,251 | m2,Girik,500 | m2,0,4,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Sound System dan Multimedia""]",[],https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000022/69beba2c2a1fd93e952ab4a7b277a37d.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000022
01.4.03.17.02.000002,JAMIK GUNJO,Masjid Jami,1965,"Gunjo Koto Selayan | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.30485139746232,100.39019141346,735 | m2,Wakaf,400 | m2,0,4,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]",[],https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.4.03.17.02.000002/a9fe0ea56225db0912ddc24a442ba923.jpg,https://simas.kemenag.go.id/profil/masjid/01.4.03.17.02.000002
01.6.03.17.02.000026,MUKHLISIN,Masjid di Tempat Publik,1970,"Jl. Soekarno Hatta-manggis Gantiang | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.2976189208189,100.38159660995,1.159 | m2,SHM,289 | m2,400,3,2,0,2,15,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Perlengkapan Pengurusan Jenazah"",""Ruang Belajar (TPA/Madrasah)""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000026/51cbd40595b69d1e36af05671f9d9df8.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000026
01.6.03.17.02.000021,ALMUTATHAHIRIN,Masjid di Tempat Publik,2010,"Baruah Pulai Kel. Pulai Anak Air | Mandiangin Koto Selayan | , Kota Bukittinggi | Sumatera Barat",-0.30476053891765,100.38734726607,655 | m2,Wakaf,360 | m2,0,3,1,1,1,23,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam""]",https://simas.kemenag.go.id/image/masjid-image/3/73/866/01.6.03.17.02.000021/3432e45e0ec4c0fb9e3db2a9c13fc462.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.02.000021
01.6.03.17.01.000042,ISHLAH,Masjid di Tempat Publik,1975,"BUKIK APIK KOTA BUKITTINGGI | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.95023195246032,100.41219670521,260 | m2,Wakaf,200 | m2,100,5,1,4,1,20,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000042
